Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-06-15,156.13,157.27,154.92,156.77,3972260.0,0.0,1.0,144.41541780668777,145.4698825239082,143.29620525595382,145.00739799881154,3972260.0
2017-06-14,154.5,157.28,153.96,156.76,5999411.0,0.0,1.0,142.90771825487263,145.47913221441013,142.4082349677682,144.9981483083096,5999411.0
2017-06-13,152.31,154.04,152.06,153.99,3753767.0,0.0,1.0,140.88203603494918,142.48223249178366,140.65079377240085,142.43598403927402,3753767.0
2017-06-12,152.8,153.3,151.73,152.18,4473919.0,0.0,1.0,141.33527086954393,141.7977553946406,140.34555398583703,140.76179005842405,4473919.0
2017-06-09,154.0,154.0,152.78,152.96,4705349.0,0.0,1.0,142.44523372977594,142.44523372977594,141.31677148854007,141.48326591757487,4705349.0
2017-06-08,155.16,155.2335,153.3801,153.5,4041556.0,0.0,1.0,143.51819782800024,143.58618305318944,141.8718454155611,141.98274920467927,4041556.0
2017-06-07,154.69,155.3,154.35,154.96,3158964.0,0.0,1.0,143.08346237440935,143.6476934950273,142.76897289734362,143.33320401796158,3158964.0
2017-06-06,154.44,154.66,153.65,154.2,3260265.0,0.0,1.0,142.85222011186102,143.05571330290354,142.12149456220828,142.6302275398146,3260265.0
2017-06-05,155.53,155.62,154.23,154.79,2651789.0,0.0,1.0,143.86043637657178,143.94368359108918,142.6579766113204,143.1759592794287,2651789.0
2017-06-02,154.79,155.86,154.42,155.35,3485310.0,0.0,1.0,143.1759592794287,144.1656761631356,142.83372073085715,143.69394194753696,3485310.0
2017-06-01,153.52,155.16,152.74,155.15,3384233.0,0.0,1.0,142.00124858568316,143.51819782800024,141.27977272653234,143.5089481374983,3384233.0
2017-05-31,154.36,154.38,153.28,153.51,7158383.0,0.0,1.0,142.77822258784556,142.79672196884943,141.77925601363674,141.99199889518118,7158383.0
2017-05-30,154.0,154.56,153.52,153.88,3504291.0,0.89,1.0,142.44523372977594,142.96321639788422,142.00124858568316,142.33423744375273,3504291.0
2017-05-26,156.1,156.42,154.64,154.9,4284660.0,0.0,1.0,143.55737200342318,143.85166001777995,142.2146829379203,142.4537919495852,4284660.0
2017-05-25,156.2,156.69,155.35,156.46,3110736.0,0.0,1.0,143.64933700790965,144.09996552989352,142.86763446977443,143.8884460195746,3110736.0
2017-05-24,154.7,155.43,153.29,155.0,4592587.0,0.0,1.0,142.2698619406122,142.94120647336365,140.97315537735258,142.5457569540717,4592587.0
2017-05-23,155.91,156.43,154.68,154.83,4640854.0,0.0,1.0,143.38263849489883,143.86085651822862,142.25146893971493,142.38941644644467,4640854.0
2017-05-22,156.49,157.0,155.8,155.96,3800660.0,0.0,1.0,143.91603552092053,144.38505704380165,143.2814769899637,143.42862099714208,3800660.0
2017-05-19,156.04,156.74,155.32,156.3,4781806.0,0.0,1.0,143.50219300073127,144.14594803213677,142.8400449684285,143.74130201239618,4781806.0
2017-05-18,155.48,156.665,155.24,155.7,4858557.0,0.0,1.0,142.98718897560687,144.07697427877187,142.7664729648393,143.18951198547717,4858557.0
2017-05-17,157.08,157.3,155.89,156.09,5936974.0,0.0,1.0,144.45862904739087,144.66095205726117,143.36424549400152,143.54817550297452,5936974.0
2017-05-16,160.11,160.86,158.05,158.26,10120878.0,0.0,1.0,147.24516868333174,147.9349062169805,145.3506895909099,145.54381610033153,10120878.0
2017-05-15,157.28,157.84,156.66,157.33,6045540.0,0.0,1.0,144.64255905636387,145.15756308148823,144.07237602854755,144.6885415586071,6045540.0
2017-05-12,156.39,157.2,155.75,156.92,2926365.0,0.0,1.0,143.824070516434,144.56898705277465,143.23549448772044,144.31148504021243,2926365.0
2017-05-11,157.35,157.7,155.33,156.2,3929068.0,0.0,1.0,144.7069345595044,145.02881207520713,142.84924146887715,143.64933700790965,3929068.0
2017-05-10,157.52,158.15,157.3,158.13,2617601.0,0.0,1.0,144.86327506713147,145.4426545953964,144.66095205726117,145.4242615944991,2617601.0
2017-05-09,157.04,157.74,156.29,157.68,3004377.0,0.0,1.0,144.42184304559626,145.06559807700174,143.7321055119475,145.01041907430985,3004377.0
2017-05-08,155.85,157.16,155.49,156.89,3184576.0,0.0,1.0,143.3274594922069,144.53220105098006,142.99638547605554,144.2838955388665,3184576.0
2017-05-05,155.34,155.75,154.09,155.73,2500636.0,0.0,1.0,142.8584379693258,143.23549448772044,141.70887541324458,143.2171014868231,2500636.0
2017-05-04,155.46,155.64,154.26,154.86,3793067.0,0.0,1.0,142.9687959747096,143.13433298278528,141.8652159208716,142.4170059477906,3793067.0
2017-05-03,155.16,155.39,154.59,155.0,2445464.0,0.0,1.0,142.6929009612501,142.90442047156904,142.16870043567707,142.5457569540717,2445464.0
